Country,Excepted country group,Notes
American Samoa,Samoa,
Australia,,Australia allows any airline to have a subsidiary in Australia as long as it’s incorporated there
New Zealand,Australia,New Zealand has an exception specific to Australia
Micronesia,Nauru,
Colombia,Chile,
Ecuador,Chile,
Peru,Chile,
Brazil,Chile,
Argentina,Chile,
Chile,,Same rules as Australia
Colombia,Panama,Copa owned AeroRepublica
Peru,Colombia,"I have genuinely no idea how TACA/Avianca didn’t have an exception to cabotage, but apparently they didn’t"
Peru,El Salvador,
Ecuador,El Salvador,
Ecuador,Colombia,
United Kingdom,Singapore,
Albania,China,
China,Albania,
Brunei,New Zealand,
New Zealand,Brunei,
Singapore,United Kingdom,
